"project_info","project_type",
"Pashmina Brookwoods by Pashmina Developers ","1, 2 BHK, Multistorey Apartment in Old Madras Road, Bangalore ",
"Stillwaters Apartments by RBD Shelters Private Limited ","2, 3 BHK, Multistorey Apartment in Sarjapur Road, Bangalore   Possession by: February 2016",
"LGCL Luminaire by LGCL ","4 BHK, Villa in Old Airport Rd, Bangalore ",
"Brigade Crescent by Brigade Enterprises Ltd. ","4 BHK, Multistorey Apartment in Nandidurga, Bangalore ",
"Lakvin Shelters by Metro Properties ","2, 3 BHK, Multistorey Apartment in Uttarahalli, Bangalore ",
"Faith Eco Space by Faith Inc. ","2, 3 BHK, Multistorey Apartment in Sarjapur, Bangalore   Possession by: December 2013",
"Anupam by Green Shapes Developers India Pvt. Ltd. ","4 BHK, Villa in Sarjapur, Bangalore   Possession by: December 2013",
"Century Eden by Century Real Estate Holdings Pvt. Ltd. ","Residential Plot in Yelahanka, Bangalore ",
"Garden Residency-E-City by The Creative Home ","2 BHK, Multistorey Apartment in Electronic City, Bangalore ",
"Ranga Woods by Bhagini Developers ","Residential Plot in Kengeri, Bangalore   Possession by: January 2013",
"Santhrupthi by DS-Max Properties Pvt. Ltd. ","2, 3 BHK, Multistorey Apartment in Nagarbhavi, Bangalore ",
"Sai Anugraha Enclave by Anugraha Builders and Developers ","Residential Plot, Agricultural Land in Attibele, Bangalore   Possession by: January 2013",
"Mathapathi Paradise by Mathapathi ","2 BHK, Multistorey Apartment in Kaggadaspura, Bangalore   Possession by: January 2013",
"Ozone Valley by AVS Constructions ","Residential Plot in Hosur Road, Bangalore   Possession by: March 2015",
