Habitat Crest,Habitat Pragnya Properties Pvt. Ltd.,Whitefield,3 BHK,Bangalore
Woodland Heights,DLF,Rajapur,2 3 BHK,Bangalore
Breathe,Azven Realty,Sarjapur,3 4 BHK,Bangalore
Miraya Rose,Ukn Properties Pvt. Ltd.,Whitefield,3 4 BHK,Bangalore
Sapthagiri Nagar,Bhagini Developers,Banashankari Stage 3,2 3 BHK Multistorey Apartment,Bangalore
Shilpitha Splendour Annex,Maithri Developers,Marathahalli,2 3 BHK,Bangalore
VMAKS Chalet,Electronic City,2 3 BHK,Bangalore
VRR Nest,VRR and CO Builders and Developers,Hosur Road,2 3 BHK,Bangalore
Sai Poorna Premier,Srinivasa Developers,Sarjapur Road,2 3 BHK,Bangalore
Asset Placid,Asset Builders,Electronic City,2 3 BHK,Bangalore
Shilpitha Sunflower,Shilpitha Sunflower,Borewell Rd,2 3 BHK,Bangalore
Golden Lake View,Golden Nest Builders & Developers,Silk Board,2 BHK,Bangalore
Nakoda Neeladri,Sree Nakoda Builders and Developers,Electronic City,3 BHK,Bangalore
AVS Jasmine Valley,AVS Group,Sarjapur Road,2 BHK Villa,Bangalore
Habitat Aster,HVP Realty Pvt. Ltd.,Whitefield,2 3 BHK,Bangalore
SJR Palazza City,SJR Primecorp,Sarjapur Road,1 2 3 BHK,Bangalore
Brigade Exotica,Brigade Enterprises Ltd.,Old Madras Road,4 BHK,Bangalore
Brigade Sonata,Brigade Enterprises Ltd.,Palace Road,3 BHK,Bangalore
Sumukha Simhadri Springs,Sumukha Elite,Uttarahalli,2 3 BHK,Bangalore
RBD Stillwaters,RBD Shelters Pvt. Ltd.,Sarjapur Road,3 4 BHK,Bangalore
Venkat Wings Royal,Venkat Estates Private Limited,Yelahanka,2 3 BHK,Bangalore
Kristal Amethyst,Kristal Group,Sarjapur Road,4 BHK,Bangalore
Surya Enclave,Flora n Flora,Anekal,2 3 BHK,Bangalore
Shilpitha Royal,Shilpitha Royal,Hoodi,2 3 BHK,Bangalore
DS-MAX Seldons,DS-Max Properties Pvt. Ltd.,Jalahalli,2 3 BHK,Bangalore
Sunrise,Shreyas Properties,Devanahalli-Kolar Road,Residential Plot in Devanahalli-Kolar Road Bangalore ,Bangalore
T.G.Solitaire,T.G. Developers,Bannerghatta Road,2 3 BHK,Bangalore
AVS Sunfield,AVS Group,Hosur-Bagalur Road,3 BHK Villa,Bangalore
Pashmina Brookwoods,Pashmina Developers,Old Madras Road,1 2 BHK,Bangalore
Stillwaters Apartments,RBD Shelters Private Limited,Sarjapur Road,2 3 BHK,Bangalore
LGCL Luminaire,LGCL,Old Airport Rd,4 BHK,Bangalore
Brigade Crescent,Brigade Enterprises Ltd.,Nandidurga,4 BHK,Bangalore
Lakvin Shelters,Metro Properties,Uttarahalli,2 3 BHK,Bangalore
Faith Eco Space,Faith Inc.,Sarjapur,2 3 BHK,Bangalore
Anupam,Green Shapes Developers India Pvt. Ltd.,Sarjapur,4 BHK,Bangalore
Century Eden,Century Real Estate Holdings Pvt. Ltd.,Yelahanka,Residential Plot in Yelahanka Bangalore ,Bangalore
Garden Residency-E-City,The Creative Home,Electronic City,2 BHK,Bangalore
Ranga Woods,Bhagini Developers,Kengeri,Residential Plot in Kengeri Bangalore   Possession by: January 2013,Bangalore
Santhrupthi,DS-Max Properties Pvt. Ltd.,Nagarbhavi,2 3 BHK,Bangalore
Sai Anugraha Enclave,Anugraha Builders and Developers,Attibele,Residential Plot,Bangalore
Mathapathi Paradise,Mathapathi,Kaggadaspura,2 BHK,Bangalore
Ozone Valley,AVS Constructions,Hosur Road,Residential Plot in Hosur Road Bangalore   Possession by: March 2015,Bangalore
